make_id,make_name,model_id,model_name
440,Aston Martin,1684,V8 Vantage
440,Aston Martin,1686,DBS
440,Aston Martin,1687,DB9
440,Aston Martin,1688,Rapide
440,Aston Martin,1695,V12 Vantage
440,Aston Martin,1697,Virage
440,Aston Martin,1701,Vanquish
440,Aston Martin,13751,DB11
440,Aston Martin,14157,Lagonda
440,Aston Martin,14162,Vantage
440,Aston Martin,14164,V8
440,Aston Martin,19609,Vanquish S
440,Aston Martin,19610,Vanquish Zagato
440,Aston Martin,27591,DBX
440,Aston Martin,32082,DB12
